date,name,state,magnitude,deaths,injuries,tsunami,notes
1906-04-18,Great San Francisco earthquake,CA,7.9,3000,,no,"Deaths long cited as ~700 but USGS/modern research estimates ~3,000. Fire caused most loss."
1915-06-22,Imperial Valley earthquake,CA,6.3,6,,no,
1918-04-21,San Jacinto earthquake,CA,6.8,1,,no,
1918-10-11,San Fermin earthquake & tsunami,PR,7.1,116,,yes,Puerto Rico (US territory). ~40 of the deaths from the tsunami. Reported tolls range 76-144.
1925-06-29,Santa Barbara earthquake,CA,6.8,13,,no,
1933-03-10,Long Beach earthquake,CA,6.4,120,,no,Death toll usually cited 115-120; spurred the Field Act (school seismic standards).
1940-05-18,El Centro (Imperial Valley) earthquake,CA,6.9,9,20,no,
1946-04-01,Aleutian Islands earthquake & Pacific tsunami,AK,8.6,165,163,yes,"Tsunami killed ~159 in Hilo, Hawaii + lighthouse crew at Scotch Cap, AK. Prompted Pacific Tsunami Warning System."
1949-04-13,Olympia (Puget Sound) earthquake,WA,6.7,8,64,no,
1952-07-21,Kern County earthquake,CA,7.3,12,35,no,Largest CA quake 1906-2019.
1958-07-09,Lituya Bay earthquake & megatsunami,AK,7.8,5,,yes,Triggered the tallest tsunami ever recorded (~524 m runup).
1959-08-17,Hebgen Lake earthquake,MT,7.3,28,,no,Landslide buried Rock Creek campground; created Quake Lake.
1964-03-27,Great Alaska (Good Friday) earthquake,AK,9.2,131,,yes,"2nd-largest quake ever recorded. ~124 deaths from tsunamis (AK, OR, CA)."
1965-04-29,Puget Sound earthquake,WA,6.7,7,,no,
1971-02-09,San Fernando (Sylmar) earthquake,CA,6.6,65,2000,no,Hospital collapses drove major seismic building-code reform.
1975-11-29,Kalapana earthquake & tsunami,HI,7.7,2,28,yes,
1980-11-08,Eureka (offshore N. California) earthquake,CA,7.3,0,6,no,
1983-05-02,Coalinga earthquake,CA,6.2,0,94,no,Destroyed downtown Coalinga.
1983-10-28,Borah Peak earthquake,ID,6.9,2,,no,Largest in Idaho's history.
1987-10-01,Whittier Narrows earthquake,CA,5.9,8,200,no,
1989-10-17,Loma Prieta earthquake,CA,6.9,63,3757,no,Struck during the World Series; Cypress Structure & Bay Bridge collapses.
1992-06-28,Landers earthquake,CA,7.3,1,400,no,
1994-01-17,Northridge earthquake,CA,6.7,57,8700,no,Deaths cited 57-72. One of the costliest US disasters (~$20B+).
2001-02-28,Nisqually earthquake,WA,6.8,1,400,no,Single death attributed to a heart attack.
2003-12-22,San Simeon earthquake,CA,6.6,2,40,no,
2011-08-23,Mineral (Virginia) earthquake,VA,5.8,0,,no,Felt by more people than any US quake in history; damaged Washington Monument.
2014-08-24,South Napa earthquake,CA,6.0,1,200,no,
2018-11-30,Anchorage earthquake,AK,7.1,0,,no,"Major infrastructure damage, no deaths."
2019-07-06,Ridgecrest earthquake sequence,CA,7.1,1,,no,Largest in Southern CA in 20 years; ~1 indirect death reported.
2020-01-07,Puerto Rico earthquake sequence,PR,6.4,1,9,no,Some sources cite up to 4 deaths incl. indirect. Damaged Guanica/Indios region.
2020-03-18,Magna (Utah) earthquake,UT,5.7,0,,no,
2022-12-20,Ferndale (Humboldt County) earthquake,CA,6.4,2,12,no,
