date,name,rating,states,deaths,injuries,notes
1925-03-18,Tri-State Tornado,F5,MO/IL/IN,695,2027,Deadliest single tornado in US history; ~219 mile path.
1936-04-05,Tupelo-Gainesville outbreak,F5,MS/GA,454,1800,"Tupelo ~216 dead, Gainesville ~203 dead the next day."
1947-04-09,Glazier-Higgins-Woodward Tornado,F5,TX/OK/KS,181,970,
1953-05-11,Waco Tornado,F5,TX,114,597,Ended the myth that Waco was tornado-safe.
1953-06-08,Flint-Beecher Tornado,F5,MI,116,844,Last single US tornado to kill 100+ until Joplin 2011.
1953-06-09,Worcester Tornado,F4,MA,94,1228,
1965-04-11,Palm Sunday outbreak,F4,Midwest,271,1500,47 tornadoes across 6 states; spurred improved warning coordination.
1974-04-03,1974 Super Outbreak,F5,13 states,315,5484,148 tornadoes in ~18 hours; US deaths 315 (335 incl. Canada).
1979-04-10,Wichita Falls ('Terrible Tuesday'),F4,TX,42,1740,
1999-05-03,Bridge Creek-Moore Tornado,F5,OK,36,583,Recorded the highest wind speed ever measured (~302 mph).
2011-04-27,Hackleburg-Phil Campbell Tornado,EF5,AL,72,,Deadliest single tornado of the 2011 Super Outbreak.
2011-04-25,2011 Super Outbreak,EF5,Southeast US,324,3000,Largest tornado outbreak ever recorded (~360 tornadoes); drove the deadliest US tornado year since 1936.
2011-05-22,Joplin Tornado,EF5,MO,158,1150,Deadliest single US tornado since modern records began in 1950.
2013-05-20,Moore Tornado,EF5,OK,24,212,
2013-05-31,El Reno Tornado,EF3,OK,8,151,Widest tornado ever recorded (~2.6 miles); killed veteran storm chasers.
2021-12-10,Western Kentucky / Quad-State outbreak,EF4,KY+3,89,600,"Long-track December tornado outbreak; devastated Mayfield, KY."
