year,deaths
1900,101
1901,52
1902,157
1903,216
1904,87
1905,184
1906,70
1907,80
1908,477
1909,404
1910,12
1911,55
1912,175
1913,346
1914,41
1915,84
1916,150
1917,551
1918,136
1919,206
1920,499
1921,202
1922,135
1923,110
1924,376
1925,794
1926,144
1927,540
1928,95
1929,274
1930,179
1931,36
1932,394
1933,362
1934,47
1935,71
1936,552
1937,29
1938,183
1939,91
1940,65
1941,53
1942,384
1943,58
1944,275
1945,210
1946,78
1947,313
1948,139
1949,211
1950,70
1951,34
1952,230
1953,519
1954,36
1955,129
1956,83
1957,193
1958,67
1959,58
1960,46
1961,52
1962,30
1963,31
1964,73
1965,301
1966,98
1967,114
1968,131
1969,66
1970,73
1971,159
1972,27
1973,89
1974,366
1975,60
1976,44
1977,43
1978,53
1979,84
1980,28
1981,24
1982,64
1983,34
1984,122
1985,94
1986,15
1987,59
1988,32
1989,50
1990,53
1991,39
1992,39
1993,33
1994,69
1995,30
1996,25
1997,67
1998,130
1999,94
2000,41
2001,40
2002,55
2003,54
2004,35
2005,39
2006,67
2007,81
2008,126
2009,21
2010,45
2011,553
2012,70
2013,55
2014,47
2015,36
2016,18
2017,35
2018,10
2019,41
2020,76
2021,101
2022,25
2023,83
2024,54
2025,67
